,Main Champion,Main Lane,Champion,Mastery
0,Elise,jg,LeeSin,0.026966433585018386
1,Elise,jg,Khazix,0.07106215997486913
2,Elise,jg,Nidalee,0.07712070278997239
0,Elise,jg,Sylas,0.04710013891260119
1,Elise,jg,Leblanc,0.05000952765520373
2,Elise,jg,Ahri,0.05563797685432054
0,Elise,jg,Ezreal,0.02067406583181066
1,Elise,jg,Lucian,0.032563689942357976
2,Elise,jg,Vayne,0.037891611274599196
0,Elise,jg,Thresh,0.02677824924619267
1,Elise,jg,Blitzcrank,0.0478405227424808
2,Elise,jg,Morgana,0.05908171494363927
0,Evelynn,jg,Akali,0.02436233363936262
1,Evelynn,jg,Irelia,0.02833027717217512
2,Evelynn,jg,Jax,0.033168512155830415
0,Evelynn,jg,Kayn,0.022455792853289417
1,Evelynn,jg,Khazix,0.03949246852077039
2,Evelynn,jg,LeeSin,0.056986730048979625
0,Evelynn,jg,Yasuo,0.022519066107645144
1,Evelynn,jg,Ahri,0.0251110740151421
2,Evelynn,jg,Sylas,0.03903881736596269
0,Evelynn,jg,Ezreal,0.020860867713210735
1,Evelynn,jg,Kaisa,0.02190747017507926
2,Evelynn,jg,Jhin,0.025180444527665564
0,Evelynn,jg,Lux,0.014378986801553344
1,Evelynn,jg,Morgana,0.022519945983499247
2,Evelynn,jg,Pyke,0.02715890160974118
0,Ezreal,bot,Irelia,0.003319811300778749
1,Ezreal,bot,Akali,0.003937693848583458
2,Ezreal,bot,Riven,0.00492500784518114
0,Ezreal,bot,LeeSin,0.0013947802169505573
1,Ezreal,bot,Graves,0.0027001430633328775
2,Ezreal,bot,Ekko,0.003983878355493402
0,Ezreal,bot,Yasuo,0.0018333431766512818
1,Ezreal,bot,Zed,0.0029933424007152765
2,Ezreal,bot,Sylas,0.004459721003457445
0,Ezreal,bot,Kaisa,0.0021098332812021867
1,Ezreal,bot,Lucian,0.002540936656738058
2,Ezreal,bot,Vayne,0.0030959320139516485
0,Ezreal,bot,Thresh,0.0020106988648294047
1,Ezreal,bot,Blitzcrank,0.0026484783477451843
2,Ezreal,bot,Senna,0.002929917746310323
0,Fiddlesticks,jg,Volibear,0.06688780632944873
1,Fiddlesticks,jg,Malphite,0.08501872786585588
2,Fiddlesticks,jg,Teemo,0.09140631407761436
0,Fiddlesticks,jg,Kayn,0.09182606970550036
1,Fiddlesticks,jg,Warwick,0.12749091444125682
2,Fiddlesticks,jg,Ekko,0.14346218221532672
0,Fiddlesticks,jg,Veigar,0.05561226269654956
1,Fiddlesticks,jg,Yasuo,0.06230817888625518
2,Fiddlesticks,jg,Sylas,0.07970622186784763
0,Fiddlesticks,jg,Jhin,0.05269730447168001
1,Fiddlesticks,jg,Ezreal,0.05590943086343626
2,Fiddlesticks,jg,MissFortune,0.06387193660752541
0,Fiddlesticks,jg,Thresh,0.07074264878254857
1,Fiddlesticks,jg,Blitzcrank,0.07956663743682811
2,Fiddlesticks,jg,Lux,0.08421875988444957
0,Fiora,top,Camille,0.026985835116264248
1,Fiora,top,Irelia,0.02756481102763955
2,Fiora,top,Akali,0.03527380962041645
0,Fiora,top,LeeSin,0.016558303648381376
1,Fiora,top,Ekko,0.024783712038817858
2,Fiora,top,Graves,0.025387849329262146
0,Fiora,top,Yasuo,0.0121914623999074
1,Fiora,top,Vladimir,0.023886243404812622
2,Fiora,top,Sylas,0.026452556816673873
0,Fiora,top,Ezreal,0.013512183104454836
1,Fiora,top,Vayne,0.01753331491696132
2,Fiora,top,Lucian,0.021811526798426666
0,Fiora,top,Thresh,0.01812502563612064
1,Fiora,top,Lux,0.023989699312209727
2,Fiora,top,Blitzcrank,0.03176592482717983
0,Fizz,mid,Akali,0.02112146068151549
1,Fizz,mid,Jax,0.024532697349296893
2,Fizz,mid,Irelia,0.029031708320616093
0,Fizz,mid,LeeSin,0.01649917365824715
1,Fizz,mid,Ekko,0.01725633496775049
2,Fizz,mid,Talon,0.02748212013287972
0,Fizz,mid,Yasuo,0.016449047653512266
1,Fizz,mid,Zed,0.0206046885204384
2,Fizz,mid,Ahri,0.04742356421326644
0,Fizz,mid,Ezreal,0.01294339193082104
1,Fizz,mid,Lucian,0.018919077227611606
2,Fizz,mid,Vayne,0.02142766696811638
0,Fizz,mid,Blitzcrank,0.018744431400437248
1,Fizz,mid,Lux,0.019006717478446646
2,Fizz,mid,Thresh,0.0245429007022862
0,Galio,mid,Akali,0.048211635412817234
1,Galio,mid,Malphite,0.05845311305867498
2,Galio,mid,Mordekaiser,0.07757363285964206
0,Galio,mid,Warwick,0.07201471387358652
1,Galio,mid,Diana,0.0740809558760523
2,Galio,mid,LeeSin,0.0791267601594106
0,Galio,mid,Ahri,0.060460569194337975
1,Galio,mid,Sylas,0.06885854812420447
2,Galio,mid,Veigar,0.07830937665614705
0,Galio,mid,Ezreal,0.032761851527303903
1,Galio,mid,Ashe,0.041539020915140286
2,Galio,mid,Jhin,0.042877071147023535
0,Galio,mid,Lux,0.04482655626221678
1,Galio,mid,Pantheon,0.051992407816179226
2,Galio,mid,Nautilus,0.05548254747208221
0,Gangplank,top,Darius,0.04621827069205616
1,Gangplank,top,Aatrox,0.050506651457137716
2,Gangplank,top,Jayce,0.050863258316436816
0,Gangplank,top,LeeSin,0.014591249868400704
1,Gangplank,top,Graves,0.02081899966301075
2,Gangplank,top,Ekko,0.02921322357630825
0,Gangplank,top,Yasuo,0.014341305077640108
1,Gangplank,top,Zed,0.021732513376016765
2,Gangplank,top,TwistedFate,0.024380760358205585
0,Gangplank,top,Ezreal,0.013924653092116105
1,Gangplank,top,Jhin,0.015107388707874633
2,Gangplank,top,Lucian,0.020251246817382135
0,Gangplank,top,Thresh,0.017345884242589676
1,Gangplank,top,Pyke,0.027382967738705934
2,Gangplank,top,Pantheon,0.0289354492885825
0,Garen,top,Darius,0.015050204183311917
1,Garen,top,Malphite,0.02116377318318011
2,Garen,top,Mordekaiser,0.02536782676798352
0,Garen,top,MasterYi,0.010136640417511476
1,Garen,top,Kayn,0.011915886917560755
2,Garen,top,Warwick,0.014645612018827815
0,Garen,top,Yasuo,0.007826743443175582
1,Garen,top,Veigar,0.008585906201288735
2,Garen,top,Yone,0.015603482715077303
0,Garen,top,MissFortune,0.0093037042425923
1,Garen,top,Ashe,0.009560104969259178
2,Garen,top,Ezreal,0.010204470435643005
