,Main Champion,Champion,Mastery
2,Urgot,Mordekaiser,0.05280756181125993
0,Varus,Teemo,0.1488295514274682
1,Varus,Renekton,0.22834052491982937
2,Varus,Sett,0.22981392283770508
0,Vayne,Riven,0.005055433112536868
1,Vayne,Irelia,0.005591430472825176
2,Vayne,Akali,0.008001971083182062
0,Veigar,Teemo,0.023271170251270602
1,Veigar,Malphite,0.027868254883981692
2,Veigar,Garen,0.02966463038454147
0,Velkoz,Teemo,0.021094446190829317
1,Velkoz,Garen,0.02194991283678456
2,Velkoz,Akali,0.026327229092307645
0,Vex,Kayle,0.3153902826336055
1,Vex,Teemo,0.4609551220433553
2,Vex,Akali,0.4740886092721136
0,Vi,Jax,0.07122718329844721
1,Vi,Volibear,0.0765789519447346
2,Vi,Garen,0.09181147268478115
0,Viego,Sett,0.043338199037648385
1,Viego,Volibear,0.05794826728452845
2,Viego,Darius,0.06163840625216332
0,Viktor,Akali,0.050971743936902264
1,Viktor,Irelia,0.06714246394679572
2,Viktor,Jayce,0.07141754804991449
0,Vladimir,Irelia,0.016108726924383025
1,Vladimir,Akali,0.019197333070061006
2,Vladimir,Jax,0.026059159760851835
0,Volibear,Garen,0.08486399188256293
1,Volibear,Sett,0.08565790978053073
2,Volibear,Darius,0.0971660414695335
0,Warwick,Garen,0.018360660486086894
1,Warwick,Jax,0.01896929751477428
2,Warwick,Volibear,0.025690010089189218
0,Xayah,Irelia,0.02694360341255382
1,Xayah,Akali,0.031102452732062757
2,Xayah,Jax,0.05190423052253793
0,Xerath,Malphite,0.03497904194566592
1,Xerath,Teemo,0.048616426128507084
2,Xerath,Akali,0.049180546122736944
0,XinZhao,Jax,0.04118731716160844
1,XinZhao,Garen,0.05146234004725252
2,XinZhao,Malphite,0.05755864518239119
0,Yasuo,Akali,0.0014905805933454908
1,Yasuo,Irelia,0.0016759203122184325
2,Yasuo,Darius,0.002311340866070767
0,Yone,Akali,0.015456210323133811
1,Yone,Irelia,0.01689556465521383
2,Yone,Sett,0.01868616409484953
0,Yorick,Garen,0.07287270640731658
1,Yorick,Urgot,0.0873469635698168
2,Yorick,Teemo,0.08842597310278752
0,Yuumi,Teemo,0.01308299691000141
1,Yuumi,Malphite,0.0213586621385326
2,Yuumi,Akali,0.02179905188967132
0,Zac,Garen,0.0385909405067786
1,Zac,Malphite,0.04235029041178403
2,Zac,Teemo,0.04614550332652391
0,Zed,Akali,0.003440323188804358
1,Zed,Irelia,0.004617917177520108
2,Zed,Riven,0.0064652907380905395
0,Zeri,Ornn,0.857636765311599
1,Zeri,Chogath,0.8895096558603799
2,Zeri,Sett,0.889515832646166
0,Ziggs,Teemo,0.13446493565331413
1,Ziggs,Garen,0.15785618870495352
2,Ziggs,Malphite,0.18634349780182127
0,Zilean,Teemo,0.05438090993066491
1,Zilean,TahmKench,0.07143013527849329
2,Zilean,Malphite,0.07949891422982129
0,Zoe,Akali,0.010143753373894377
1,Zoe,Irelia,0.013155777018499161
2,Zoe,Teemo,0.042546573195308524
0,Zyra,Teemo,0.02003191009937398
1,Zyra,Malphite,0.0561729553281232
2,Zyra,Kayle,0.056921748974833125
