,Main Champion,Champion,Mastery
12,TwistedFate,Thresh,0.02561358383000857
13,TwistedFate,Blitzcrank,0.029852237360922674
14,TwistedFate,Xerath,0.038009102502233716
12,Twitch,Thresh,0.01705994821910538
13,Twitch,Brand,0.017885749019967055
14,Twitch,Senna,0.024235286466916774
12,Udyr,Thresh,0.05939898154577582
13,Udyr,Lux,0.0721646727352571
14,Udyr,Pantheon,0.07895229930241572
12,Urgot,Blitzcrank,0.024002189795994267
13,Urgot,Lux,0.027461732798019414
14,Urgot,Swain,0.029934357219195264
12,Varus,Senna,0.1008400176759771
13,Varus,Lux,0.14433102580247711
14,Varus,Pyke,0.1575083937108614
12,Vayne,Thresh,0.0033277972589230956
13,Vayne,Blitzcrank,0.0048210221845730004
14,Vayne,Lux,0.005959794243517639
12,Veigar,Lux,0.017596038139268563
13,Veigar,Morgana,0.02706575877073339
14,Veigar,Blitzcrank,0.02731744166407191
12,Velkoz,Lux,0.013747438318853118
13,Velkoz,Xerath,0.03503970742381952
14,Velkoz,Blitzcrank,0.035319615197697454
12,Vex,Yuumi,0.446968399460726
13,Vex,Lux,0.45496569597388065
14,Vex,Leona,0.47591826070369386
12,Vi,Lux,0.04301635057356137
13,Vi,Amumu,0.056527606091143476
14,Vi,Xerath,0.0781899900494604
12,Viego,Pyke,0.03743766094894356
13,Viego,Pantheon,0.04132031070780142
14,Viego,Morgana,0.053024751495319516
12,Viktor,Thresh,0.04891789207219026
13,Viktor,Lux,0.05760449263797613
14,Viktor,Senna,0.06308613196465587
12,Vladimir,Thresh,0.016728175727444883
13,Vladimir,Pyke,0.019468918666877586
14,Vladimir,Lux,0.020344775963861004
12,Volibear,Pantheon,0.03606604486594718
13,Volibear,Lux,0.06344620530333679
14,Volibear,Blitzcrank,0.06649582173749742
12,Warwick,Lux,0.019063779399104846
13,Warwick,Morgana,0.019662914257898265
14,Warwick,Pyke,0.02065224383531034
12,Xayah,Lux,0.020593832889246072
13,Xayah,Senna,0.02151587600684202
14,Xayah,Rakan,0.035310076995822885
12,Xerath,Lux,0.026985440931956504
13,Xerath,Blitzcrank,0.03363582384186691
14,Xerath,Thresh,0.03898460953141172
12,XinZhao,Lux,0.040232551116682135
13,XinZhao,Pantheon,0.044609623868915
14,XinZhao,Blitzcrank,0.047014622270081276
12,Yasuo,Pyke,0.0012661770824919567
13,Yasuo,Thresh,0.0014654684332690198
14,Yasuo,Lux,0.0015740043002555313
12,Yone,Pantheon,0.014559614681788865
13,Yone,Pyke,0.014658145750682035
14,Yone,Lux,0.023482958758801777
12,Yorick,Pantheon,0.07839000264919886
13,Yorick,Swain,0.08475757784765568
14,Yorick,Morgana,0.08593115928619219
12,Yuumi,Lulu,0.012354017259706402
13,Yuumi,Lux,0.01922327965524571
14,Yuumi,Soraka,0.02801469791228921
12,Zac,Thresh,0.01936559709777605
13,Zac,Blitzcrank,0.021582277029234022
14,Zac,Pyke,0.033923357104109556
12,Zed,Thresh,0.00348026785024855
13,Zed,Pyke,0.00445524870651679
14,Zed,Lux,0.004483692020383216
12,Zeri,Pantheon,0.480725859354465
13,Zeri,Thresh,0.9327131840404209
14,Zeri,Blitzcrank,0.9395261787623574
12,Ziggs,Lux,0.07481189532742837
13,Ziggs,Morgana,0.10338418521864229
14,Ziggs,Swain,0.11827823536517224
12,Zilean,Thresh,0.05532535143320994
13,Zilean,Lux,0.08986399651492132
14,Zilean,Pyke,0.11284810549298097
12,Zoe,Lux,0.01454640799397998
13,Zoe,Pyke,0.01927752054958409
14,Zoe,Thresh,0.025175665572868
12,Zyra,Lux,0.028897362791022407
13,Zyra,Morgana,0.03854299725071762
14,Zyra,Nami,0.04909964503996219
